種類,種類,取引番号,融資日,最終期限,引落日,銀行名,番号,期間/年,融資額,条件,保証協会,保証枠/種類,保証枠/担保,保証制度,条件,利率,保証料,利率,月返済額,返済残高,2026/01,2026/02,2026/03,2026/04,2026/05,2026/06,2026/07,2026/08,2026/09,2026/10,2026/11,2026/12,備考
長期,運転,14920-450,R6.2.29,R11.2.28,31日,みなと,3,5,"5,000",P,,,,,変,1.25%,,1.25%,"833,000","31,674,000","30,841,000","30,008,000","29,175,000","28,342,000","27,509,000","26,676,000","25,843,000","25,010,000","24,177,000","23,344,000","22,511,000","21,678,000",
長期,運転,19-34565,R2.3.31,R12.3.15,R3.4.15,公庫明石,1,10,"3,000",P,,,,,固,0.46%,1.36%,1.82%,"285,000","13,965,000","13,680,000","13,395,000","13,110,000","12,825,000","12,540,000","12,255,000","11,970,000","11,685,000","11,400,000","11,115,000","10,830,000","10,545,000",当初3年0.46％、以降1.36％
長期,運転,511289,R4.8.8,R19.8.10,R4.9.10,公庫中小,1,15,"9,000",P,,,,,固,0.45%,1.35%,1.80%,"500,000","70,500,000","70,000,000","69,500,000","69,000,000","68,500,000","68,000,000","67,500,000","67,000,000","66,500,000","66,000,000","65,500,000","65,000,000","64,500,000",当初3年0.45％、以降1.35％
長期,運転,521641,R6.4.9,R13.4.10,R6.5.10,公庫中小,2,7,"4,000",P,,,,,固,0.30%,,0.30%,"480,000","30,880,000","30,400,000","29,920,000","29,440,000","28,960,000","28,480,000","28,000,000","27,520,000","27,040,000","26,560,000","26,080,000","25,600,000","25,120,000",
長期,運転,528158,R7.4.30,R14.5.10,R7.7.10,公庫中小,3,7,"5,000",P,,,,,固,0.70%,,0.70%,"480,000","46,400,000","45,920,000","45,440,000","44,960,000","44,480,000","44,000,000","43,520,000","43,040,000","42,560,000","42,080,000","41,600,000","41,120,000","40,640,000",
長期,運転,994299,R7.6.30,R12.6.15,15日,但馬,2,5,"3,000",P,,,,,固,1.06%,,1.06%,"119,000","27,000,000","26,881,000","26,762,000","26,643,000","26,524,000","26,405,000","26,286,000","26,167,000","26,048,000","25,929,000","25,810,000","25,691,000","25,572,000",2019.1216～返済
長期,運転,12,R7.1.9,R11.12.15,R7.1.15～,尼信,1,5,"2,000",P,,,,,変,1.25%,,1.25%,"334,000","15,992,000","15,658,000","15,324,000","14,990,000","14,656,000","14,322,000","13,988,000","13,654,000","13,320,000","12,986,000","12,652,000","12,318,000","11,984,000",
長期,運転,11073,R3.6.25,R8.6.15,15日,日新,1,5,"2,000",P,,,,,変,1.00%,,1.00%,"334,000","1,964,000","1,630,000","1,296,000","962,000","628,000","294,000","-40,000","-374,000","-708,000","-1,042,000","-1,376,000","-1,710,000","-2,044,000",2017.4.17～返済開始
長期,運転,11172,R4.4.6,R14.3.15,R4.4.15～,日新,2,10,"3,100",保,国,一般,無担保,伴走特別一般,変,0.80%,0.00%,0.80%,"259,000","19,345,000","19,086,000","18,827,000","18,568,000","18,309,000","18,050,000","17,791,000","17,532,000","17,273,000","17,014,000","16,755,000","16,496,000","16,237,000",
長期,運転,11173,R4.4.6,R14.3.15,R4.4.15～,日新,3,10,900,保,国,セーフティ,無担保,伴走特別,変,0.80%,0.00%,0.80%,"75,000","5,625,000","5,550,000","5,475,000","5,400,000","5,325,000","5,250,000","5,175,000","5,100,000","5,025,000","4,950,000","4,875,000","4,800,000","4,725,000",ﾌﾟﾛﾊﾟｰ
長期,運転,103155,R2.9.30,R12.9.15,R4.10.17～,姫信,1,10,"2,000",保,県,コロナ,無担保,県経滑保証料応,固,0.70%,0.00%,0.70%,"210,000","11,810,000","11,600,000","11,390,000","11,180,000","10,970,000","10,760,000","10,550,000","10,340,000","10,130,000","9,920,000","9,710,000","9,500,000","9,290,000","返済R4.10.17～ｺﾛﾅ-利息のみR2.10.15～支払,R4.10.15～21万円返済"
